"Notes"	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Baldwin County, AL"	"01003"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	323	12566	25.70
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	1040	10864	95.73
	"Baldwin County, AL"	"01003"	"25-29 years"	"25-29"	1430	12487	114.52
	"Baldwin County, AL"	"01003"	"30-34 years"	"30-34"	1173	11851	98.98
	"Baldwin County, AL"	"01003"	"35-39 years"	"35-39"	516	13085	39.43
	"Baldwin County, AL"	"01003"	"40-44 years"	"40-44"	77	13001	5.92
	"Baldwin County, AL"	"01003"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Baldwin County, AL"	"01003"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	221	7550	29.27
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	851	7416	114.75
	"Calhoun County, AL"	"01015"	"25-29 years"	"25-29"	859	8373	102.59
	"Calhoun County, AL"	"01015"	"30-34 years"	"30-34"	527	7154	73.67
	"Calhoun County, AL"	"01015"	"35-39 years"	"35-39"	192	7279	26.38
	"Calhoun County, AL"	"01015"	"40-44 years"	"40-44"	37	6802	5.44
	"Calhoun County, AL"	"01015"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Etowah County, AL"	"01055"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	230	6259	36.75
	"Etowah County, AL"	"01055"	"20-24 years"	"20-24"	793	6085	130.32
	"Etowah County, AL"	"01055"	"25-29 years"	"25-29"	741	6590	112.44
	"Etowah County, AL"	"01055"	"30-34 years"	"30-34"	443	5948	74.48
	"Etowah County, AL"	"01055"	"35-39 years"	"35-39"	184	6440	28.57
	"Etowah County, AL"	"01055"	"40-44 years"	"40-44"	34	6680	5.09
	"Etowah County, AL"	"01055"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Etowah County, AL"	"01055"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Houston County, AL"	"01069"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Houston County, AL"	"01069"	"15-19 years"	"15-19"	206	6388	32.25
	"Houston County, AL"	"01069"	"20-24 years"	"20-24"	742	5982	124.04
	"Houston County, AL"	"01069"	"25-29 years"	"25-29"	857	7327	116.96
	"Houston County, AL"	"01069"	"30-34 years"	"30-34"	566	6930	81.67
	"Houston County, AL"	"01069"	"35-39 years"	"35-39"	210	6779	30.98
	"Houston County, AL"	"01069"	"40-44 years"	"40-44"	42	6844	6.14
	"Houston County, AL"	"01069"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Houston County, AL"	"01069"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Jefferson County, AL"	"01073"	"Under 15 years"	"15"	12	Not Available	Not Available
	"Jefferson County, AL"	"01073"	"15-19 years"	"15-19"	1046	41413	25.26
	"Jefferson County, AL"	"01073"	"20-24 years"	"20-24"	3742	43132	86.76
	"Jefferson County, AL"	"01073"	"25-29 years"	"25-29"	5283	51355	102.87
	"Jefferson County, AL"	"01073"	"30-34 years"	"30-34"	4802	48166	99.70
	"Jefferson County, AL"	"01073"	"35-39 years"	"35-39"	2096	46011	45.55
	"Jefferson County, AL"	"01073"	"40-44 years"	"40-44"	357	41284	8.65
	"Jefferson County, AL"	"01073"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Jefferson County, AL"	"01073"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Lee County, AL"	"01081"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Lee County, AL"	"01081"	"15-19 years"	"15-19"	197	13586	14.50
	"Lee County, AL"	"01081"	"20-24 years"	"20-24"	837	21231	39.42
	"Lee County, AL"	"01081"	"25-29 years"	"25-29"	1281	12533	102.21
	"Lee County, AL"	"01081"	"30-34 years"	"30-34"	1019	10836	94.04
	"Lee County, AL"	"01081"	"35-39 years"	"35-39"	396	10376	38.16
	"Lee County, AL"	"01081"	"40-44 years"	"40-44"	62	9655	6.42
	"Lee County, AL"	"01081"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Lee County, AL"	"01081"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Madison County, AL"	"01089"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Madison County, AL"	"01089"	"15-19 years"	"15-19"	416	23614	17.62
	"Madison County, AL"	"01089"	"20-24 years"	"20-24"	1760	23935	73.53
	"Madison County, AL"	"01089"	"25-29 years"	"25-29"	2704	25757	104.98
	"Madison County, AL"	"01089"	"30-34 years"	"30-34"	2396	24273	98.71
	"Madison County, AL"	"01089"	"35-39 years"	"35-39"	1023	22793	44.88
	"Madison County, AL"	"01089"	"40-44 years"	"40-44"	165	21851	7.55
	"Madison County, AL"	"01089"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Madison County, AL"	"01089"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Mobile County, AL"	"01097"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Mobile County, AL"	"01097"	"15-19 years"	"15-19"	818	26869	30.44
	"Mobile County, AL"	"01097"	"20-24 years"	"20-24"	3208	28042	114.40
	"Mobile County, AL"	"01097"	"25-29 years"	"25-29"	3505	31936	109.75
	"Mobile County, AL"	"01097"	"30-34 years"	"30-34"	2389	28530	83.74
	"Mobile County, AL"	"01097"	"35-39 years"	"35-39"	1005	26373	38.11
	"Mobile County, AL"	"01097"	"40-44 years"	"40-44"	177	25016	7.08
	"Mobile County, AL"	"01097"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Mobile County, AL"	"01097"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Montgomery County, AL"	"01101"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Montgomery County, AL"	"01101"	"15-19 years"	"15-19"	525	14357	36.57
	"Montgomery County, AL"	"01101"	"20-24 years"	"20-24"	1731	16879	102.55
	"Montgomery County, AL"	"01101"	"25-29 years"	"25-29"	1906	18147	105.03
	"Montgomery County, AL"	"01101"	"30-34 years"	"30-34"	1365	16230	84.10
	"Montgomery County, AL"	"01101"	"35-39 years"	"35-39"	655	15779	41.51
	"Montgomery County, AL"	"01101"	"40-44 years"	"40-44"	119	14461	8.23
	"Montgomery County, AL"	"01101"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Montgomery County, AL"	"01101"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Morgan County, AL"	"01103"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Morgan County, AL"	"01103"	"15-19 years"	"15-19"	256	7153	35.79
	"Morgan County, AL"	"01103"	"20-24 years"	"20-24"	864	6766	127.70
	"Morgan County, AL"	"01103"	"25-29 years"	"25-29"	886	7393	119.84
	"Morgan County, AL"	"01103"	"30-34 years"	"30-34"	601	6984	86.05
	"Morgan County, AL"	"01103"	"35-39 years"	"35-39"	255	7426	34.34
	"Morgan County, AL"	"01103"	"40-44 years"	"40-44"	41	7157	5.73
	"Morgan County, AL"	"01103"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Morgan County, AL"	"01103"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Shelby County, AL"	"01117"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Shelby County, AL"	"01117"	"15-19 years"	"15-19"	166	14353	11.57
	"Shelby County, AL"	"01117"	"20-24 years"	"20-24"	708	12152	58.26
	"Shelby County, AL"	"01117"	"25-29 years"	"25-29"	1451	12949	112.05
	"Shelby County, AL"	"01117"	"30-34 years"	"30-34"	1484	14146	104.91
	"Shelby County, AL"	"01117"	"35-39 years"	"35-39"	744	15181	49.01
	"Shelby County, AL"	"01117"	"40-44 years"	"40-44"	109	14980	7.28
	"Shelby County, AL"	"01117"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Shelby County, AL"	"01117"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Tuscaloosa County, AL"	"01125"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Tuscaloosa County, AL"	"01125"	"15-19 years"	"15-19"	346	18316	18.89
	"Tuscaloosa County, AL"	"01125"	"20-24 years"	"20-24"	1358	25369	53.53
	"Tuscaloosa County, AL"	"01125"	"25-29 years"	"25-29"	1710	17558	97.39
	"Tuscaloosa County, AL"	"01125"	"30-34 years"	"30-34"	1168	13309	87.76
	"Tuscaloosa County, AL"	"01125"	"35-39 years"	"35-39"	476	13246	35.94
	"Tuscaloosa County, AL"	"01125"	"40-44 years"	"40-44"	63	12136	5.19
	"Tuscaloosa County, AL"	"01125"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Tuscaloosa County, AL"	"01125"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"Under 15 years"	"15"	37	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"15-19 years"	"15-19"	3971	122656	32.38
	"Unidentified Counties, AL"	"01999"	"20-24 years"	"20-24"	14212	120675	117.77
	"Unidentified Counties, AL"	"01999"	"25-29 years"	"25-29"	14810	125749	117.77
	"Unidentified Counties, AL"	"01999"	"30-34 years"	"30-34"	8932	116092	76.94
	"Unidentified Counties, AL"	"01999"	"35-39 years"	"35-39"	3400	118948	28.58
	"Unidentified Counties, AL"	"01999"	"40-44 years"	"40-44"	617	120951	5.10
	"Unidentified Counties, AL"	"01999"	"45-49 years"	"45-49"	27	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
