"Notes"	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Baldwin County, AL"	"01003"	"Under 15 years"	"15"	Suppressed	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	160	6173	25.92
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	545	5476	99.53
	"Baldwin County, AL"	"01003"	"25-29 years"	"25-29"	698	6145	113.59
	"Baldwin County, AL"	"01003"	"30-34 years"	"30-34"	548	5901	92.87
	"Baldwin County, AL"	"01003"	"35-39 years"	"35-39"	248	6500	38.15
	"Baldwin County, AL"	"01003"	"40-44 years"	"40-44"	45	6460	6.97
	"Baldwin County, AL"	"01003"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Baldwin County, AL"	"01003"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Calhoun County, AL"	"01015"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	112	3754	29.83
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	423	3689	114.67
	"Calhoun County, AL"	"01015"	"25-29 years"	"25-29"	427	4217	101.26
	"Calhoun County, AL"	"01015"	"30-34 years"	"30-34"	276	3588	76.92
	"Calhoun County, AL"	"01015"	"35-39 years"	"35-39"	100	3624	27.59
	"Calhoun County, AL"	"01015"	"40-44 years"	"40-44"	16	3407	4.70
	"Calhoun County, AL"	"01015"	"45-49 years"	"45-49"	Suppressed	Not Available	Not Available
	"Calhoun County, AL"	"01015"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Etowah County, AL"	"01055"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	111	3160	35.13
	"Etowah County, AL"	"01055"	"20-24 years"	"20-24"	409	3041	134.50
	"Etowah County, AL"	"01055"	"25-29 years"	"25-29"	361	3245	111.25
	"Etowah County, AL"	"01055"	"30-34 years"	"30-34"	217	3005	72.21
	"Etowah County, AL"	"01055"	"35-39 years"	"35-39"	100	3235	30.91
	"Etowah County, AL"	"01055"	"40-44 years"	"40-44"	15	3354	4.47
	"Etowah County, AL"	"01055"	"45-49 years"	"45-49"	Suppressed	Not Available	Not Available
	"Etowah County, AL"	"01055"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Houston County, AL"	"01069"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Houston County, AL"	"01069"	"15-19 years"	"15-19"	104	3197	32.53
	"Houston County, AL"	"01069"	"20-24 years"	"20-24"	363	3007	120.72
	"Houston County, AL"	"01069"	"25-29 years"	"25-29"	447	3654	122.33
