"Notes"	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Baldwin County, AL"	"01003"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	603	12566	47.987
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	2076	10864	191.090
	"Baldwin County, AL"	"01003"	"25-29 years"	"25-29"	2848	12487	228.077
	"Baldwin County, AL"	"01003"	"30-34 years"	"30-34"	2435	11851	205.468
	"Baldwin County, AL"	"01003"	"35-39 years"	"35-39"	1050	13085	80.245
	"Baldwin County, AL"	"01003"	"40-44 years"	"40-44"	156	13001	11.999
	"Baldwin County, AL"	"01003"	"45-49 years"	"45-49"	12	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	436	7550	57.748
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	1685	7416	227.211
	"Calhoun County, AL"	"01015"	"25-29 years"	"25-29"	1688	8373	201.600
	"Calhoun County, AL"	"01015"	"30-34 years"	"30-34"	1047	7154	146.352
	"Calhoun County, AL"	"01015"	"35-39 years"	"35-39"	410	7279	56.326
	"Calhoun County, AL"	"01015"	"40-44 years"	"40-44"	68	6802	9.997
	"Calhoun County, AL"	"01015"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Calhoun County, AL"	"01015"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Etowah County, AL"	"01055"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	447	6259	71.417
	"Etowah County, AL"	"01055"	"20-24 years"	"20-24"	1599	6085	262.777
	"Etowah County, AL"	"01055"	"25-29 years"	"25-29"	1457	6590	221.093
	"Etowah County, AL"	"01055"	"30-34 years"	"30-34"	920	5948	154.674
	"Etowah County, AL"	"01055"	"35-39 years"	"35-39"	357	6440	55.435
	"Etowah County, AL"	"01055"	"40-44 years"	"40-44"	68	6680	10.180
	"Etowah County, AL"	"01055"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Etowah County, AL"	"01055"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Houston County, AL"	"01069"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Houston County, AL"	"01069"	"15-19 years"	"15-19"	402	6388	62.930
	"Houston County, AL"	"01069"	"20-24 years"	"20-24"	1492	5982	249.415
	"Houston County, AL"	"01069"	"25-29 years"	"25-29"	1767	7327	241.163
	"Houston County, AL"	"01069"	"30-34 years"	"30-34"	1133	6930	163.492
	"Houston County, AL"	"01069"	"35-39 years"	"35-39"	436	6779	64.316
	"Houston County, AL"	"01069"	"40-44 years"	"40-44"	89	6844	13.004
	"Houston County, AL"	"01069"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Houston County, AL"	"01069"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Jefferson County, AL"	"01073"	"Under 15 years"	"15"	18	Not Available	Not Available
	"Jefferson County, AL"	"01073"	"15-19 years"	"15-19"	1987	41413	47.980
	"Jefferson County, AL"	"01073"	"20-24 years"	"20-24"	7246	43132	167.996
	"Jefferson County, AL"	"01073"	"25-29 years"	"25-29"	10343	51355	201.402
	"Jefferson County, AL"	"01073"	"30-34 years"	"30-34"	9559	48166	198.459
	"Jefferson County, AL"	"01073"	"35-39 years"	"35-39"	4336	46011	94.238
	"Jefferson County, AL"	"01073"	"40-44 years"	"40-44"	740	41284	17.925
	"Jefferson County, AL"	"01073"	"45-49 years"	"45-49"	39	Not Available	Not Available
	"Jefferson County, AL"	"01073"	"50 years and over"	"50+"	11	Not Available	Not Available
	"Lee County, AL"	"01081"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Lee County, AL"	"01081"	"15-19 years"	"15-19"	375	13586	27.602
	"Lee County, AL"	"01081"	"20-24 years"	"20-24"	1623	21231	76.445
	"Lee County, AL"	"01081"	"25-29 years"	"25-29"	2499	12533	199.394
