State,old_county_fips,OLD_COUNTY_NAMELSAD,new_county_fips,NEW_COUNTY_NAMELSAD
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,120,Greater Bridgeport Planning Region
09,001,Fairfield County,140,Naugatuck Valley Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,001,Fairfield County,190,Western Connecticut Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,110,Capitol Planning Region
09,003,Hartford County,140,Naugatuck Valley Planning Region
09,003,Hartford County,160,Northwest Hills Planning Region
09,003,Hartford County,160,Northwest Hills Planning Region
09,005,Litchfield County,140,Naugatuck Valley Planning Region
09,005,Litchfield County,140,Naugatuck Valley Planning Region
09,005,Litchfield County,140,Naugatuck Valley Planning Region
09,005,Litchfield County,140,Naugatuck Valley Planning Region
09,005,Litchfield County,140,Naugatuck Valley Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,160,Northwest Hills Planning Region
09,005,Litchfield County,190,Western Connecticut Planning Region
09,005,Litchfield County,190,Western Connecticut Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,007,Middlesex County,130,Lower Connecticut River Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,140,Naugatuck Valley Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,009,New Haven County,170,South Central Connecticut Planning Region
09,011,New London County,130,Lower Connecticut River Valley Planning Region
09,011,New London County,130,Lower Connecticut River Valley Planning Region
09,011,New London County,150,Northeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,011,New London County,180,Southeastern Connecticut Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,110,Capitol Planning Region
09,013,Tolland County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,150,Northeastern Connecticut Planning Region
09,015,Windham County,180,Southeastern Connecticut Planning Region
