ZCTA5,StateNb,CountyNb,Population
00601,72,001,17156.0
00601,72,141,86.0
00602,72,003,37532.0
00602,72,011,16.0
00603,72,005,49721.0
00603,72,099,83.0
00606,72,093,4726.0
00606,72,121,66.0
00606,72,153,217.0
00610,72,003,83.0
00610,72,011,25080.0
00610,72,083,47.0
00610,72,099,521.0
00611,72,141,1671.0
00612,72,013,61294.0
00612,72,017,66.0
00612,72,065,1065.0
00616,72,013,9828.0
00617,72,017,22389.0
00617,72,054,152.0
00622,72,023,7838.0
00623,72,023,39320.0
00624,72,111,20399.0
00624,72,113,1310.0
00627,72,027,32827.0
00627,72,115,46.0
00631,72,001,466.0
00631,72,081,948.0
00636,72,125,555.0
00637,72,079,341.0
00637,72,121,22659.0
00637,72,125,124.0
00638,72,039,16864.0
00638,72,091,270.0
00638,72,107,975.0
00641,72,001,29.0
00641,72,141,24263.0
00646,72,051,35873.0
00646,72,143,399.0
00647,72,055,4547.0
00647,72,079,64.0
00650,72,013,169.0
00650,72,017,202.0
00650,72,039,120.0
00650,72,054,11540.0
00650,72,091,88.0
00650,72,141,1518.0
00652,72,013,4020.0
00653,72,055,9240.0
00653,72,121,4.0
00656,72,059,17731.0
00656,72,153,234.0
00659,72,065,37421.0
00660,72,067,15448.0
00662,72,071,40770.0
00664,72,073,14779.0
00664,72,141,287.0
00667,72,079,22929.0
00667,72,125,593.0
00669,72,081,27157.0
00669,72,083,198.0
00669,72,131,16.0
00669,72,141,462.0
00670,72,011,95.0
00670,72,083,8629.0
00670,72,093,29.0
00670,72,097,75.0
00674,72,091,38802.0
00674,72,145,543.0
00676,72,003,406.0
00676,72,005,54.0
00676,72,099,36246.0
00677,72,003,115.0
00677,72,011,77.0
00677,72,117,15187.0
00678,72,071,1379.0
00678,72,115,23592.0
00678,72,131,439.0
00680,72,011,328.0
00680,72,097,44909.0
00680,72,125,819.0
00682,72,067,206.0
00682,72,097,28093.0
00683,72,125,29788.0
00685,72,071,794.0
00685,72,099,610.0
00685,72,131,38890.0
00687,72,101,28727.0
00688,72,013,12443.0
00690,72,005,5326.0
00692,72,143,32832.0
